repulsion_force,speed_factor,enemy_speed,gain,target_distance,num_robots,num_enemies,killed,reached_target,ticks
10,1,1,1,15,1,1,0,1,22140
10,1,1,1,15,1,2,0,1,22140
10,1,1,1,15,1,3,1,0,13986
10,1,1,1,15,1,4,1,0,13986
10,1,1,1,15,2,1,0,2,22496
10,1,1,1,15,2,2,0,2,22496
10,1,1,1,15,2,3,0,2,22539
10,1,1,1,15,2,4,0,2,22539
10,1,1,1,15,3,1,0,3,23272
10,1,1,1,15,3,2,0,3,23272
10,1,1,1,15,3,3,0,3,23272
10,1,1,1,15,3,4,3,0,19248
10,1,1,1,15,4,1,0,4,22478
10,1,1,1,15,4,2,1,3,22478
10,1,1,1,15,4,3,1,3,22488
10,1,1,1,15,4,4,1,3,22488
10,1,1,1,15,5,1,0,5,22452
10,1,1,1,15,5,2,1,4,22452
10,1,1,1,15,5,3,1,4,22514
10,1,1,1,15,5,4,3,2,22514
10,1,1,1,15,6,1,0,6,22377
10,1,1,1,15,6,2,1,5,22775
10,1,1,1,15,6,3,2,4,22742
10,1,1,1,15,6,4,4,2,22742
10,1,1,1,15,7,1,0,7,22851
10,1,1,1,15,7,2,1,6,22894
10,1,1,1,15,7,3,1,6,22894
10,1,1,1,15,7,4,3,4,23148
10,1,1,1,15,8,1,0,8,22506
10,1,1,1,15,8,2,3,5,22462
10,1,1,1,15,8,3,4,4,22586
10,1,1,1,15,8,4,5,3,22586
10,1,1,1,15,9,1,0,9,22234
10,1,1,1,15,9,2,3,6,22217
10,1,1,1,15,9,3,4,5,22235
10,1,1,1,15,9,4,6,3,22235
10,1,1,1,15,10,1,0,10,22518
10,1,1,1,15,10,2,3,7,22381
10,1,1,1,15,10,3,4,6,22377
10,1,1,1,15,10,4,6,4,22264
10,1,1,1,15,11,1,0,11,22534
10,1,1,1,15,11,2,5,6,22368
10,1,1,1,15,11,3,6,5,22379
10,1,1,1,15,11,4,8,3,22263
10,1,1,1,15,12,1,1,11,22514
10,1,1,1,15,12,2,4,8,22506
10,1,1,1,15,12,3,6,6,22322
10,1,1,1,15,12,4,8,4,22305
10,1,1,1,15,13,1,0,13,22394
10,1,1,1,15,13,2,2,11,23711
10,1,1,1,15,13,3,5,8,24393
10,1,1,1,15,13,4,7,6,23024
10,1,1,1,15,14,1,1,13,22377
10,1,1,1,15,14,2,4,10,22334
10,1,1,1,15,14,3,7,7,22367
10,1,1,1,15,14,4,9,5,22255
10,1,1,1,15,15,1,4,11,22489
10,1,1,1,15,15,2,7,8,22074
10,1,1,1,15,15,3,9,6,22118
10,1,1,1,15,15,4,9,6,22118
10,1,1,1,20,1,1,0,1,22140
10,1,1,1,20,1,2,0,1,22140
10,1,1,1,20,1,3,1,0,13986
10,1,1,1,20,1,4,1,0,13986
10,1,1,1,20,2,1,0,2,22439
10,1,1,1,20,2,2,0,2,22439
10,1,1,1,20,2,3,0,2,22596
10,1,1,1,20,2,4,0,2,22596
10,1,1,1,20,3,1,0,3,22749
10,1,1,1,20,3,2,0,3,22861
10,1,1,1,20,3,3,0,3,22861
10,1,1,1,20,3,4,1,2,22768
10,1,1,1,20,4,1,0,4,22466
10,1,1,1,20,4,2,1,3,22539
10,1,1,1,20,4,3,1,3,22550
10,1,1,1,20,4,4,1,3,22550
10,1,1,1,20,5,1,0,5,23391
10,1,1,1,20,5,2,1,4,23229
10,1,1,1,20,5,3,1,4,23229
10,1,1,1,20,5,4,1,4,23229
10,1,1,1,20,6,1,0,6,23419
10,1,1,1,20,6,2,1,5,23242
10,1,1,1,20,6,3,1,5,23242
10,1,1,1,20,6,4,1,5,23242
10,1,1,1,20,7,1,0,7,22499
10,1,1,1,20,7,2,4,3,22251
10,1,1,1,20,7,3,4,3,22251
10,1,1,1,20,7,4,5,2,22251
10,1,1,1,20,8,1,0,8,22971
10,1,1,1,20,8,2,3,5,22245
10,1,1,1,20,8,3,4,4,22498
10,1,1,1,20,8,4,4,4,22480
10,1,1,1,20,9,1,1,8,22610
10,1,1,1,20,9,2,3,6,22442
10,1,1,1,20,9,3,4,5,22427
10,1,1,1,20,9,4,6,3,22173
10,1,1,1,20,10,1,2,8,23222
10,1,1,1,20,10,2,4,6,23294
10,1,1,1,20,10,3,4,6,23294
10,1,1,1,20,10,4,7,3,22707
10,1,1,1,20,11,1,2,9,23012
10,1,1,1,20,11,2,5,6,25197
10,1,1,1,20,11,3,5,6,25748
10,1,1,1,20,11,4,5,6,25748
10,1,1,1,20,12,1,2,10,25187
10,1,1,1,20,12,2,4,8,26169
10,1,1,1,20,12,3,5,7,24855
10,1,1,1,20,12,4,6,6,24746
10,1,1,1,20,13,1,1,12,22979
10,1,1,1,20,13,2,4,9,25246
10,1,1,1,20,13,3,4,9,24477
10,1,1,1,20,13,4,4,9,24477
10,1,1,1,20,14,1,0,14,22437
10,1,1,1,20,14,2,3,11,22429
10,1,1,1,20,14,3,6,8,22404
10,1,1,1,20,14,4,8,6,22838
10,1,1,1,20,15,1,3,12,23213
10,1,1,1,20,15,2,5,10,23158
10,1,1,1,20,15,3,6,9,23182
10,1,1,1,20,15,4,8,7,23289
10,1,1,1,25,1,1,0,1,22140
10,1,1,1,25,1,2,0,1,22140
10,1,1,1,25,1,3,1,0,13986
10,1,1,1,25,1,4,1,0,13986
10,1,1,1,25,2,1,0,2,22664
10,1,1,1,25,2,2,0,2,22664
10,1,1,1,25,2,3,0,2,22664
10,1,1,1,25,2,4,0,2,22664
10,1,1,1,25,3,1,0,3,23328
10,1,1,1,25,3,2,0,3,23359
10,1,1,1,25,3,3,0,3,23308
10,1,1,1,25,3,4,1,2,22837
10,1,1,1,25,4,1,0,4,22687
10,1,1,1,25,4,2,0,4,22755
10,1,1,1,25,4,3,0,4,22755
10,1,1,1,25,4,4,1,3,22712
10,1,1,1,25,5,1,0,5,23318
10,1,1,1,25,5,2,1,4,23360
10,1,1,1,25,5,3,2,3,22894
10,1,1,1,25,5,4,3,2,22894
10,1,1,1,25,6,1,0,6,22768
10,1,1,1,25,6,2,1,5,23029
10,1,1,1,25,6,3,1,5,23029
10,1,1,1,25,6,4,4,2,22356
10,1,1,1,25,7,1,0,7,23014
10,1,1,1,25,7,2,3,4,23179
10,1,1,1,25,7,3,3,4,23120
10,1,1,1,25,7,4,5,2,22552
10,1,1,1,25,8,1,0,8,23239
10,1,1,1,25,8,2,1,7,23140
10,1,1,1,25,8,3,1,7,23071
10,1,1,1,25,8,4,4,4,22973
10,1,1,1,25,9,1,0,9,22711
10,1,1,1,25,9,2,2,7,22796
10,1,1,1,25,9,3,2,7,22796
10,1,1,1,25,9,4,6,3,22155
10,1,1,1,25,10,1,2,8,23102
10,1,1,1,25,10,2,3,7,23201
10,1,1,1,25,10,3,3,7,23201
10,1,1,1,25,10,4,6,4,24562
10,1,1,1,25,11,1,2,9,23059
10,1,1,1,25,11,2,3,8,23096
10,1,1,1,25,11,3,3,8,23096
10,1,1,1,25,11,4,7,4,22548
10,1,1,1,25,12,1,2,10,24852
10,1,1,1,25,12,2,4,8,23821
10,1,1,1,25,12,3,4,8,24002
10,1,1,1,25,12,4,5,7,24208
10,1,1,1,25,13,1,3,10,22866
10,1,1,1,25,13,2,4,9,23139
10,1,1,1,25,13,3,4,9,22787
10,1,1,1,25,13,4,6,7,22900
10,1,1,1,25,14,1,0,14,23026
10,1,1,1,25,14,2,3,11,27316
10,1,1,1,25,14,3,4,10,26820
10,1,1,1,25,14,4,6,8,27842
10,1,1,1,25,15,1,1,14,22655
10,1,1,1,25,15,2,3,12,22795
10,1,1,1,25,15,3,7,8,26514
10,1,1,1,25,15,4,10,5,27434
10,1,1,1,30,1,1,0,1,22140
10,1,1,1,30,1,2,0,1,22140
10,1,1,1,30,1,3,1,0,13986
10,1,1,1,30,1,4,1,0,13986
10,1,1,1,30,2,1,0,2,22906
10,1,1,1,30,2,2,0,2,22906
10,1,1,1,30,2,3,1,1,22204
10,1,1,1,30,2,4,1,1,22204
10,1,1,1,30,3,2,1,2,23108
10,1,1,1,30,3,3,2,1,22330
10,1,1,1,30,3,4,2,1,22330
10,1,1,1,30,4,1,0,4,22916
10,1,1,1,30,4,2,0,4,22916
10,1,1,1,30,4,3,1,3,22909
10,1,1,1,30,4,4,1,3,23014
10,1,1,1,30,5,2,2,3,23151
10,1,1,1,30,5,3,3,2,22382
10,1,1,1,30,5,4,4,1,22382
10,1,1,1,30,6,1,0,6,23131
10,1,1,1,30,6,2,1,5,23848
10,1,1,1,30,6,3,2,4,23670
10,1,1,1,30,6,4,5,1,23656
10,1,1,1,30,7,1,0,7,24073
10,1,1,1,30,7,2,3,4,22888
10,1,1,1,30,7,3,3,4,22888
10,1,1,1,30,7,4,5,2,22432
10,1,1,1,30,8,1,0,8,23917
10,1,1,1,30,8,2,1,7,23692
10,1,1,1,30,8,3,2,6,23634
10,1,1,1,30,8,4,4,4,23516
10,1,1,1,30,9,1,0,9,23347
10,1,1,1,30,9,2,2,7,26356
10,1,1,1,30,9,3,2,7,26356
10,1,1,1,30,9,4,4,5,25950
10,1,1,1,30,10,1,2,8,22899
10,1,1,1,30,10,2,4,6,25461
10,1,1,1,30,10,3,4,6,25461
10,1,1,1,30,10,4,4,6,25461
10,1,1,1,30,11,1,1,10,23313
10,1,1,1,30,11,2,3,8,23285
10,1,1,1,30,11,3,4,7,23299
10,1,1,1,30,11,4,5,6,22773
10,1,1,1,30,12,1,1,11,23047
10,1,1,1,30,12,2,4,8,22991
10,1,1,1,30,12,3,5,7,23009
10,1,1,1,30,12,4,7,5,23010
10,1,1,1,30,13,1,1,12,23186
10,1,1,1,30,13,2,1,12,23303
10,1,1,1,30,13,3,2,11,23233
10,1,1,1,30,13,4,7,6,22157
10,1,1,1,30,14,1,1,13,22463
10,1,1,1,30,14,2,3,11,22492
10,1,1,1,30,14,3,7,7,23716
10,1,1,1,30,14,4,8,6,23125
10,1,1,1,30,15,1,2,13,23075
10,1,1,1,30,15,2,4,11,32186
10,1,1,1,30,15,3,7,8,25991
10,1,1,1,30,15,4,7,8,25810
10,1,1,10,15,1,1,0,1,22140
10,1,1,10,15,1,2,0,1,22140
10,1,1,10,15,1,3,1,0,13986
10,1,1,10,15,1,4,1,0,13986
10,1,1,10,15,2,1,0,2,22722
10,1,1,10,15,2,2,0,2,22722
10,1,1,10,15,2,3,0,2,22722
10,1,1,10,15,2,4,0,2,22722
10,1,1,10,15,3,1,0,3,22762
10,1,1,10,15,3,2,0,3,22753
10,1,1,10,15,3,3,0,3,22753
10,1,1,10,15,3,4,0,3,22753
10,1,1,10,15,4,1,0,4,22737
10,1,1,10,15,4,2,1,3,22737
10,1,1,10,15,4,3,1,3,22737
10,1,1,10,15,4,4,2,2,22737
10,1,1,10,15,5,1,0,5,22778
10,1,1,10,15,5,2,1,4,22778
10,1,1,10,15,5,3,1,4,22778
10,1,1,10,15,5,4,2,3,22778
10,1,1,10,15,6,1,0,6,22712
10,1,1,10,15,6,2,2,4,22474
10,1,1,10,15,6,3,3,3,22298
10,1,1,10,15,6,4,4,2,22298
10,1,1,10,15,7,1,0,7,22998
10,1,1,10,15,7,2,2,5,23054
10,1,1,10,15,7,3,2,5,23054
10,1,1,10,15,7,4,6,1,22620
10,1,1,10,15,8,1,0,8,22507
10,1,1,10,15,8,2,3,5,22509
10,1,1,10,15,8,3,4,4,22669
10,1,1,10,15,8,4,5,3,22669
10,1,1,10,15,9,1,0,9,22682
