repulsion_force,speed_factor,enemy_speed,gain,target_distance,num_robots,num_enemies,exponent,light_strength,killed,reached_target,ticks
14.09,1.3,2.18,347.96,23.65,3,4,5.14,0.87,3,0,4464
10.62,1.55,1.84,202.23,15.22,12,2,3.62,0.68,5,7,10670
28.33,3.57,2.82,810.68,19.22,2,2,5.6,0.61,2,0,2477
13.81,3.67,1.17,249.89,27.39,2,4,6.37,0.68,0,2,4842
26.63,2.48,1.49,602.72,29.64,1,3,6.6,0.94,0,1,4751
14.39,2.98,1.96,83.24,21.51,9,1,8.44,0.59,0,9,6808
28.13,3.84,1.05,177.27,19.71,11,2,6.9,0.78,2,9,3913
21.81,1.11,1.76,782.63,25.75,8,1,4.92,0.85,2,6,12226
22.31,1.13,2.05,169.7,18.04,15,4,8.83,0.81,13,2,11939
10.64,1.22,2.67,701.08,22.34,12,3,6.0,1.0,11,1,9117
26.97,1.66,2.77,546.17,22.84,2,1,6.34,1.0,1,1,6639
21.66,2.17,2.51,752.03,19.1,4,4,7.68,0.68,4,0,5169
29.21,1.94,2.51,805.09,21.83,3,3,6.44,0.97,2,1,5951
26.28,1.93,1.22,835.92,15.55,11,1,3.05,0.41,2,9,15299
25.48,3.78,1.26,605.4,28.2,7,4,3.49,0.43,1,6,7521
20.12,3.79,1.07,937.06,26.92,1,2,4.03,0.79,0,1,3700
12.65,1.77,1.42,561.59,27.07,9,4,4.95,0.96,1,8,6609
16.1,2.74,2.27,454.06,16.76,12,3,5.85,0.91,6,6,4455
23.57,3.31,1.95,829.48,21.16,7,3,6.83,0.31,6,1,11842
22.06,1.02,2.19,956.75,16.89,3,4,6.15,0.96,3,0,2868
